Time (s),Sound pressure level (dB)
81.0,-56.160494281537254
81.25,-48.63933227646423
81.5,-61.6240632749154
81.75,-58.2331809690452
82.0,-49.43346603771355
82.25,-53.64918962617477
82.5,-51.41503306477333
82.75,-51.12964027748808
83.0,-51.74680268010097
83.25,-54.78683978814959
83.5,-56.68655983495467
83.75,-51.50856108182836
84.0,-54.06838487588265
84.25,-41.0981709585194
84.5,-49.583099056789266
84.75,-51.80724139433015
85.0,-50.781423435819946
85.25,-52.87517656670652
85.5,-53.711304134316215
85.75,-59.51353175250047
86.0,-52.61259350550375
86.25,-57.79853939001573
86.5,-54.777565527520174
86.75,-54.825750593196275
87.0,-56.501714253052796
87.25,-53.21391664346635
87.5,-52.23653684564885
87.75,-41.49509247912426
88.0,-60.615399808395665
88.25,-55.45295579269273
88.5,-50.00402688284248
88.75,-55.73357372388644
89.0,-56.481001248792715
89.25,-55.99508451356464
89.5,-59.440154467496605
89.75,-52.18441563001266
90.0,-57.59515257254424
90.25,-52.0426469393497
90.5,-58.81393552681634
90.75,-57.22748580711857
91.0,-54.322963569646845
91.25,-49.611513849131136
91.5,-56.358163511453434
91.75,-55.42631143218103
92.0,-53.24353761359492
92.25,-60.15145080525976
92.5,-58.120312229956504
92.75,-47.8414202712547
93.0,-54.0287814794123
93.25,-63.2540706455673
93.5,-55.42591246136797
93.75,-58.00953713547373
94.0,-56.51145279044731
94.25,-57.25054735168587
94.5,-47.87017699867134
94.75,-57.31078093710842
95.0,-65.53511891751418
95.25,-57.102571688064614
95.5,-49.587083899616026
95.75,-51.59907878001782
96.0,-64.52052808490652
96.25,-45.07107878447667
96.5,-49.15717447591855
96.75,-53.16970734907519
97.0,-55.07728286694792
97.25,-59.44718634585108
97.5,-61.491147018696594
97.75,-55.40890513766888
98.0,-51.38269645814073
98.25,-56.26994324729141
98.5,-56.90778683175911
98.75,-56.03570604006452
99.0,-57.40873779545459
99.25,-52.8985311388314
99.5,-53.60794848495457
99.75,-48.83464978556424
100.0,-46.337705954366875
100.25,-55.82262243466406
100.5,-58.14318636338535
100.75,-49.75279871583948
101.0,-62.44702028238751
101.25,-52.17454042147049
101.5,-57.044009349160824
101.75,-51.83248745485337
102.0,-55.370024704963114
102.25,-48.88149783006879
102.5,-52.57506892671907
102.75,-49.3813241721613
103.0,-52.32800040289353
103.25,-48.71680368837131
103.5,-57.89359909551872
103.75,-53.67743337307753
104.0,-58.25320211637991
104.25,-51.5422453402713
104.5,-57.683519924202756
104.75,-43.46909688354651
105.0,-55.55064237267088
105.25,-44.7276582471652
105.5,-62.70303670236932
105.75,-50.05770162551386
106.0,-56.86034087353869
106.25,-56.41878828847217
106.5,-51.85390770916267
106.75,-56.73241584429449
107.0,-59.851731901892805
107.25,-56.28899626478555
107.5,-51.94100289980668
107.75,-59.01720216362854
108.0,-57.583845376802486
108.25,-60.531219253023025
108.5,-57.75312101218754
108.75,-61.31986169167799
109.0,-54.203339406930844
109.25,-59.606789535814976
109.5,-57.31099742759148
109.75,-61.61538071506763
110.0,-50.784302220368254
110.25,-52.01689863335146
110.5,-48.27574397655165
110.75,-52.995692860223755
111.0,-44.87378530405989
111.25,-50.27390842875195
111.5,-54.85991547097921
111.75,-57.46838699626072
112.0,-54.34951095955403
112.25,-44.15568684717552
112.5,-57.87903202261269
112.75,-60.624388837536955
113.0,-56.327687980101544
113.25,-49.42525235039094
113.5,-55.600762352897725
113.75,-58.081862891599805
114.0,-45.99451579901407
114.25,-58.37318261361661
114.5,-57.36881557248273
114.75,-47.4462712541631
115.0,-51.108894746460855
115.25,-54.272978899348104
115.5,-48.054335587655416
115.75,-59.07548488963598
116.0,-52.19113879314344
116.25,-50.3100333141328
116.5,-57.25919820424696
116.75,-48.58185746130537
