"Time (s)","Sound pressure level (dB)"
4.797667914E2,-4.712703381E1
4.799638760E2,-3.545008424E1
4.801669246E2,-4.338156237E1
4.803639846E2,-4.646740370E1
4.805643320E2,-4.876643336E1
4.807632163E2,-4.805155581E1
4.809660436E2,-5.120545769E1
4.811677730E2,-4.788299554E1
4.813658730E2,-4.543202395E1
4.815593923E2,-4.673865022E1
4.817593104E2,-4.579359098E1
4.819658341E2,-4.489145734E1
4.821658646E2,-4.261225813E1
4.823662304E2,-5.067808623E1
4.825658000E2,-5.049174157E1
4.827658985E2,-4.579955316E1
4.829667969E2,-5.013158319E1
4.831671230E2,-5.187015555E1
4.833661504E2,-5.198701718E1
4.835663973E2,-4.792227287E1
4.837653895E2,-4.562405257E1
4.839617304E2,-5.023441697E1
4.841612298E2,-4.645957004E1
4.843615298E2,-4.748961958E1
4.845599231E2,-4.035464744E1
4.847582609E2,-4.750542331E1
4.849582735E2,-4.390862662E1
4.851579954E2,-5.074381533E1
4.853608590E2,-2.958094358E1
4.855669031E2,-5.226104506E1
4.857657733E2,-4.618209191E1
4.859664840E2,-4.784804405E1
4.861671698E2,-4.491850764E1
4.863656899E2,-4.628398096E1
4.865657557E2,-3.834078500E1
4.867659982E2,-4.931804576E1
4.869651323E2,-4.576658635E1
4.871655733E2,-3.608391922E1
4.873663865E2,-5.010667077E1
4.875668471E2,-4.337507772E1
4.877657098E2,-3.752955891E1
4.879570339E2,-2.987818181E1
4.881567464E2,-4.332425328E1
4.883583950E2,-4.642436596E1
4.885578735E2,-5.069742092E1
4.887581135E2,-4.784077147E1
4.889642766E2,-3.494872533E1
4.891662313E2,-4.799920069E1
4.893660409E2,-4.904143034E1
4.895665061E2,-5.069207068E1
4.897667222E2,-4.668145794E1
4.899590864E2,-5.171963861E1
4.901579590E2,-4.337863987E1
4.903580437E2,-4.892594314E1
4.905629711E2,-4.767122335E1
4.907618877E2,-4.965132466E1
4.909598490E2,-4.940118369E1
4.911601010E2,-4.857215856E1
4.913605790E2,-4.962657621E1
4.915620843E2,-5.176198833E1
4.917599274E2,-3.923281890E1
4.919590116E2,-5.362995468E1
4.921599302E2,-3.785056698E1
4.923670916E2,-4.578842654E1
4.925664133E2,-4.369352204E1
4.927666803E2,-4.859315017E1
4.929659101E2,-4.328633561E1
4.931660840E2,-4.515544262E1
4.933661336E2,-5.079190747E1
4.935585950E2,-4.587741407E1
4.937622296E2,-5.050725572E1
4.939657899E2,-5.092690058E1
4.941601234E2,-4.300597507E1
4.943665495E2,-4.929227186E1
4.945667710E2,-4.989818077E1
4.947666763E2,-4.632225632E1
4.949660019E2,-4.787731654E1
4.951656954E2,-3.281617689E1
4.953602053E2,-2.978631990E1
4.955658271E2,-4.218374049E1
4.957668916E2,-4.461999726E1
4.959677101E2,-4.898513651E1
4.961658175E2,-4.777846719E1
4.963655369E2,-4.399824371E1
4.965601369E2,-4.112729809E1
4.967676400E2,-4.559686307E1
4.969663483E2,-4.949208927E1
4.971660890E2,-4.600389473E1
4.973667255E2,-4.644887180E1
4.975661470E2,-4.260856120E1
4.977586750E2,-4.323885332E1
4.979573667E2,-3.255412574E1
4.981583628E2,-4.158830171E1
4.983593191E2,-3.994142671E1
4.985590492E2,-3.617019262E1
4.987619412E2,-4.185005401E1
4.989619656E2,-3.662192294E1
4.991671240E2,-3.972551484E1
4.993662716E2,-4.478628526E1
4.995669698E2,-3.500787779E1
4.997655541E2,-3.826124455E1
4.999658022E2,-4.081836669E1
5.001645477E2,-4.553269091E1
5.003659092E2,-4.221234895E1
5.005658290E2,-4.354254370E1
